"neuron";"scanned.paper.id";"neuromorpho.name";"species";"area";"layer";"rotated";"archive";"original.type";"paper"
128;"";"2003-02-21-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
129;"kisvarday1990fig3N22";"";"Human";"Temporal";"V";FALSE;NA;NA;NA
130;"lund1993fig16N1";"";"Monkey";"Prefrontal";"II";FALSE;NA;NA;NA
131;"";"C010600A2";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
132;"";"JM090103-10-2";"Mouse";"Somatosensory";"IV";FALSE;"Yuste";"Stellate cell";"Internal dynamics determine the cortical response to thalamic stimulation"
133;"";"2001-11-14-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
134;"";"C040600B2";"Rat";"Somatosensory";"II/III";TRUE;"Markram";"Not reported";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
135;"";"JM072203-10";"Mouse";"Somatosensory";"IV";FALSE;"Yuste";"Not reported";"Internal dynamics determine the cortical response to thalamic stimulation"
136;"";"030430-6";"Mouse";"Visual";"V";FALSE;"Yuste";"Somatostatin (SOM) containing cell";"Calcium microdomains in aspiny dendrites"
137;"";"C091000D-I3";"Rat";"Somatosensory";"V";FALSE;"Markram";"Chandelier cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
138;"";"DAG052C-1";"Mouse";"Visual";"not reported";FALSE;"Yuste";"Not reported";"Attractor dynamics of network UP states in the neocortex"
139;"";"2003-12-03-C-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
140;"lund1991fig14N2";"";"Monkey";"Visual";"III";FALSE;NA;NA;NA
141;"";"MD050201-3";"Mouse";"Somatosensory";"not reported";FALSE;"Yuste";"Not reported";"Two-photon photostimulation and imaging of neural circuits"
142;"";"C181200A2";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Double bouquet cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
143;"";"2001-07-10-B-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
144;"";"C300997B-I4";"Rat";"Somatosensory";"IV";TRUE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
145;"";"2002-04-04-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
146;"";"030223-4-PV";"Mouse";"Visual";"II/III";FALSE;"Yuste";"Parvalbumin (PV) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
147;"CCfig11N2";"";"Rabbit";"Visual";"II/III";FALSE;NA;NA;NA
148;"";"2001-11-06-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
149;"";"020619-1-NPY";"Mouse";"Visual";"II/III";FALSE;"Yuste";"Neuropeptide Y (NPY) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
150;"";"030124-1";"Mouse";"Visual";"not reported";FALSE;"Yuste";"Somatostatin (SOM) containing cell";"Calcium microdomains in aspiny dendrites"
151;"lund1991fig10N1";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
152;"kisvarday1986fig3N9";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
